Months_beginning_Jan_1871,Monthly_years,Monthly_nom_gov_bond_rate,Monthly_nom_margin_rate,Monthly_nom_stock_return,Monthly_CPI,Fed_funds_rate
96,1878.12,0.000864969,0.004074124,0.042028986,8.18251405,
97,1879.01,0.004534399,0.001855938,0.040542365,8.277679339,
98,1879.02,0.001875618,0.00226328,-0.012055256,8.372844628,
99,1879.03,0.00575624,0.009488793,0.037100457,8.277679339,
100,1879.04,0.01062283,0.00327374,0.049219717,8.18251405,
101,1879.05,-0.001086507,0.003674809,0.009058799,8.18251405,
102,1879.06,0.005627587,0.00246627,0.024200337,8.087381157,
103,1879.07,0.000878774,0.001855938,0.01137995,8.18251405,
104,1879.08,0.005235823,0.009112468,0.040812858,8.18251405,
105,1879.09,0.003439216,0.004867551,0.11285545,8.467928926,
106,1879.1,0.006156633,0.03663705,0.056921296,8.94367438,
107,1879.11,0.0039884,0.004471699,0.001323529,9.419419835,
108,1879.12,0.005298396,0.009112468,0.04200542,9.704834711,
109,1880.01,0.009521285,0.003674809,0.020955643,9.990330579,
110,1880.02,0.005841898,0.003674809,0.022596154,9.990330579,
111,1880.03,0.003454937,0.013169611,-0.019261006,10.08541488,
112,1880.04,0.005931564,0.003674809,-0.075611326,9.704834711,
113,1880.05,0.00638751,0.002870899,0.00812369,9.419419835,
114,1880.06,0.001634278,0.002059836,0.049930411,9.229089256,
115,1880.07,0.006496261,0.002059836,0.039836993,9.229089256,
116,1880.08,0.001463668,0.00226328,0.001926782,9.229089256,
117,1880.09,0.000245066,0.002059836,0.03289897,9.324254545,
118,1880.1,0.010102666,0.002668809,0.056441526,9.324254545,
119,1880.11,0.005982224,0.013529722,0.044786096,9.419419835,
120,1880.12,0.005400459,0.004074124,0.063641553,9.514585124,
121,1881.01,0.003574655,0.003474495,0.000336564,9.419419835,
122,1881.02,0.004208812,0.084431539,0.014991896,9.514585124,
123,1881.03,0.005621831,0.004074124,0.000467415,9.514585124,
124,1881.04,0.008619741,0.00327374,0.048767417,9.609669421,
125,1881.05,0.004789723,0.00246627,0.015961538,9.514585124,
126,1881.06,-0.000841842,0.00327374,-0.031281662,9.514585124,
127,1881.07,0.000832105,0.002668809,-0.019750656,9.609669421,
128,1881.08,0.005331688,0.029349924,0.012096774,9.8,
129,1881.09,0.00099363,0.004471699,-0.011933333,10.18058017,
130,1881.1,0.004858245,0.004074124,0.010704607,10.27574545,
131,1881.11,0.00617237,0.008545071,-0.024838449,10.18058017,
132,1881.12,0.002200093,0.012626791,-0.010537992,10.18058017,
133,1882.01,0.002808047,0.002870899,-0.017454955,10.18058017,
134,1882.02,0.004900989,0.020950723,0.002878526,10.27574545,
135,1882.03,0.005873822,0.003674809,0.00461361,10.27574545,
136,1882.04,0.005066693,0.002870899,-0.007497116,10.37091074,
137,1882.05,0.001157281,0.00246627,-0.000583771,10.46599504,
138,1882.06,0.000998318,0.004471699,0.061032864,10.56116033,
139,1882.07,0.003496806,0.002870899,0.034444444,10.46599504,
140,1882.08,0.003347305,0.003674809,0.014023732,10.56116033,
141,1882.09,0.000266688,0.009863581,-0.022970085,10.27574545,
142,1882.1,0.002921196,0.003674809,-0.038440417,10.18058017,
143,1882.11,0.005126079,0.013169611,0.009753299,10.08541488,
144,1882.12,0.000710094,0.004074124,-0.000570776,9.990330579,
145,1883.01,0.003067723,0.002870899,-0.017773953,9.990330579,
146,1883.02,0.003358333,0.002870899,0.017043721,10.08541488,
147,1883.03,0.002472468,0.00643403,0.025543478,9.990330579,
148,1883.04,0.002475394,0.003674809,-0.012446053,9.895165289,
149,1883.05,0.002771558,0.001855938,0.013347776,9.8,
150,1883.06,0.001297999,0.001651581,-0.010810424,9.514585124,
151,1883.07,0.003523118,0.001446765,-0.040636998,9.324254545,
152,1883.08,0.005555732,0.001855938,0.015946069,9.324254545,
153,1883.09,0.004338666,0.002059836,-0.022189572,9.229089256,
154,1883.1,0.004728492,0.00246627,0.019955081,9.229089256,
155,1883.11,0.007597909,0.001651581,-0.016953602,9.134004959,
156,1883.12,0.001986349,0.001651581,-0.024812734,9.229089256,
157,1884.01,0.002675622,0.001446765,0.032308559,9.229089256,
158,1884.02,0.003906884,0.001651581,0.001358083,9.229089256,
159,1884.03,0.001980788,0.001651581,-0.040172956,9.229089256,
160,1884.04,-0.004758207,0.002059836,-0.075703228,9.038839669,
161,1884.05,0.000270417,0.003674809,-0.035094982,8.848509091,
162,1884.06,0.002624806,0.007591534,0.005979073,8.848509091,
163,1884.07,0.003934438,0.001035746,0.068727578,8.753424793,
164,1884.08,0.003772649,0.001855938,-0.026077707,8.753424793,
165,1884.09,0.00332653,0.001651581,-0.026960784,8.658259504,
166,1884.1,0.005878462,0.001855938,-0.014390015,8.563094215,
167,1884.11,0.00467266,0.001241488,0.003672414,8.372844628,
168,1884.12,0.000161337,0.001035746,-0.017089094,8.277679339,
169,1885.01,0.003145427,0.001035746,0.036639151,8.277679339,
170,1885.02,0.002426515,0.001241488,0.007976735,8.372844628,
171,1885.03,0.002294891,0.000829538,0.003281963,8.18251405,
172,1885.04,0.003139661,0.001035746,-0.005974447,8.277679339,
173,1885.05,0.004684793,0.001035746,0.000787037,8.087381157,
174,1885.06,0.001997586,0.001035746,0.04253876,7.897091074,
175,1885.07,0.003401382,0.001241488,0.061083707,7.992232066,
176,1885.08,0.003251644,0.001241488,-0.008080326,7.992232066,
177,1885.09,0.003246396,0.001651581,0.062679211,7.897091074,
178,1885.1,0.003510886,0.00226328,0.069303862,7.897091074,
179,1885.11,0.003368278,0.00226328,-0.003724555,7.992232066,
180,1885.12,0.002257307,0.002870899,0.003846154,8.18251405,
181,1886.01,0.006746133,0.001241488,0.023049679,7.992232066,
182,1886.02,0.004630636,0.001651581,-0.017033019,7.992232066,
183,1886.03,0.001685433,0.00226328,-0.009714194,7.897091074,
184,1886.04,0.002227108,0.00226328,-0.015734049,7.801941983,
185,1886.05,0.001428957,0.003474495,0.049663015,7.611651901,
186,1886.06,0.004770649,0.001651581,0.018888889,7.51650281,
187,1886.07,0.002086588,0.001855938,0.011074109,7.611651901,
188,1886.08,0.005129993,0.004074124,0.029588765,7.706792893,
189,1886.09,0.004667917,0.004074124,0.028811252,7.706792893,
190,1886.1,0.002063051,0.003474495,0.028072271,7.706792893,
191,1886.11,0.003746443,0.00545813,-0.022715889,7.706792893,
192,1886.12,0.000118381,0.004471699,-0.007387707,7.801941983,
193,1887.01,0.004801547,0.003072542,-0.003845579,7.992232066,
194,1887.02,0.002957657,0.002870899,0.026850181,8.087381157,
195,1887.03,0.003208558,0.004273128,0.026271311,8.087381157,
196,1887.04,0.00282073,0.003874685,0.020545977,8.087381157,
197,1887.05,0.001673467,0.004471699,-0.025529661,8.087381157,
198,1887.06,0.001157561,0.003824757,-0.021015125,7.992232066,
199,1887.07,-0.000542885,0.003674809,-0.021504174,7.897091074,
200,1887.08,-0.000312986,0.004074124,-0.009174312,7.992232066,
201,1887.09,0.00305045,0.004471699,-0.029701053,7.897091074,
202,1887.1,0.005034262,0.003674809,0.023157051,7.992232066,
203,1887.11,0.000228093,0.004074124,-0.001768868,8.087381157,
204,1887.12,0.003705828,0.004471699,0.011543327,8.277679339,
205,1888.01,0.002766009,0.002059836,-0.001752982,8.372844628,
206,1888.02,0.001430366,0.001855938,-0.033985164,8.277679339,
207,1888.03,0.001965868,0.003072542,0.007956037,8.277679339,
208,1888.04,0.00664118,0.00226328,0.01770098,8.18251405,
209,1888.05,0.004438353,0.001241488,-0.027051902,8.087381157,
210,1888.06,0.001550024,0.001241488,0.02994012,7.992232066,
211,1888.07,0.004032954,0.001035746,0.025264267,8.087381157,
212,1888.08,0.005149531,0.001446765,0.028519048,8.087381157,
213,1888.09,0.000647265,0.00246627,-0.001936183,8.087381157,
214,1888.1,0.001420874,0.001651581,-0.016926791,8.18251405,
215,1888.11,0.003626218,0.00246627,-0.015399173,8.277679339,
216,1888.12,0.000508706,0.004074124,0.023184176,8.277679339,
217,1889.01,0.004551385,0.001651581,0.01509542,7.992232066,
218,1889.02,0.004628075,0.001446765,-0.017165094,7.897091074,
219,1889.03,0.002309299,0.00327374,0.001726076,7.801941983,
220,1889.04,0.002948008,0.001855938,0.030674067,7.801941983,
221,1889.05,0.002689796,0.00246627,0.020454261,7.611651901,
222,1889.06,0.000518912,0.003072542,-0.016866913,7.611651901,
223,1889.07,0.002064323,0.002059836,0.016732704,7.611651901,
224,1889.08,0.002586139,0.00327374,0.027673805,7.611651901,
225,1889.09,0.000639742,0.005654145,-0.014810606,7.706792893,
226,1889.1,0.002342758,0.006044919,-0.005837963,7.706792893,
227,1889.11,0.003132369,0.007207323,-0.002168224,7.706792893,
228,1889.12,-0.002309515,0.013169611,0.014724311,7.801941983,
229,1890.01,-0.001458527,0.003874685,-0.007744734,7.611651901,
230,1890.02,0.001857337,0.004867551,-0.004072682,7.611651901,
231,1890.03,0.001151515,0.003072542,0.024305556,7.611651901,
232,1890.04,0.002713772,0.004669839,0.046072975,7.611651901,
233,1890.05,0.002570842,0.005064835,-0.003855279,7.706792893,
234,1890.06,0.004684793,0.005261694,-0.003882915,7.706792893,
235,1890.07,0.007100883,0.003474495,-0.020156438,7.706792893,
236,1890.08,0.003598647,0.006821493,-0.013247073,7.992232066,
237,1890.09,-0.001307031,0.00327374,-0.041666667,8.087381157,
238,1890.1,-0.001091736,0.012808087,-0.069225722,8.087381157,
