Date,Open,High,Low,Close
9/5/1928,21.07,21.07,21.07,21.07
9/6/1928,20.94,20.94,20.94,20.94
9/7/1928,21.09,21.09,21.09,21.09
9/8/1928,21.03,21.03,21.03,21.03
9/10/1928,20.92,20.92,20.92,20.92
9/11/1928,21.08,21.08,21.08,21.08
9/12/1928,21.16,21.16,21.16,21.16
9/13/1928,21.14,21.14,21.14,21.14
9/14/1928,21.14,21.14,21.14,21.14
9/15/1928,21.23,21.23,21.23,21.23
9/17/1928,21.33,21.33,21.33,21.33
9/18/1928,21.18,21.18,21.18,21.18
9/19/1928,21.18,21.18,21.18,21.18
9/20/1928,21.22,21.22,21.22,21.22
9/21/1928,21.36,21.36,21.36,21.36
9/22/1928,21.24,21.24,21.24,21.24
9/24/1928,21.43,21.43,21.43,21.43
9/25/1928,21.41,21.41,21.41,21.41
9/26/1928,21.4,21.4,21.4,21.4
9/27/1928,21.13,21.13,21.13,21.13
9/28/1928,21.14,21.14,21.14,21.14
9/29/1928,21.37,21.37,21.37,21.37
10/1/1928,21.36,21.36,21.36,21.36
10/2/1928,21.26,21.26,21.26,21.26
10/3/1928,21.19,21.19,21.19,21.19
10/4/1928,21.26,21.26,21.26,21.26
10/5/1928,21.22,21.22,21.22,21.22
10/6/1928,21.17,21.17,21.17,21.17
10/8/1928,21.11,21.11,21.11,21.11
10/9/1928,21.18,21.18,21.18,21.18
10/10/1928,21.41,21.41,21.41,21.41
10/11/1928,21.51,21.51,21.51,21.51
10/13/1928,21.63,21.63,21.63,21.63
10/15/1928,21.65,21.65,21.65,21.65
10/16/1928,21.72,21.72,21.72,21.72
10/17/1928,21.79,21.79,21.79,21.79
10/18/1928,21.84,21.84,21.84,21.84
10/19/1928,21.96,21.96,21.96,21.96
10/20/1928,21.84,21.84,21.84,21.84
10/22/1928,21.81,21.81,21.81,21.81
10/23/1928,21.95,21.95,21.95,21.95
10/24/1928,21.99,21.99,21.99,21.99
10/25/1928,21.91,21.91,21.91,21.91
10/26/1928,21.65,21.65,21.65,21.65
10/27/1928,21.87,21.87,21.87,21.87
10/29/1928,22,22,22,22
10/30/1928,21.76,21.76,21.76,21.76
10/31/1928,21.68,21.68,21.68,21.68
11/1/1928,21.99,21.99,21.99,21.99
11/2/1928,21.95,21.95,21.95,21.95
11/3/1928,21.97,21.97,21.97,21.97
11/5/1928,22.24,22.24,22.24,22.24
11/7/1928,22.5,22.5,22.5,22.5
11/8/1928,22.39,22.39,22.39,22.39
11/9/1928,22.55,22.55,22.55,22.55
11/10/1928,22.73,22.73,22.73,22.73
11/12/1928,22.84,22.84,22.84,22.84
11/13/1928,22.91,22.91,22.91,22.91
11/14/1928,22.91,22.91,22.91,22.91
11/15/1928,23.03,23.03,23.03,23.03
11/16/1928,23.37,23.37,23.37,23.37
11/17/1928,23.37,23.37,23.37,23.37
11/19/1928,23.377,23.377,23.377,23.377
11/20/1928,23.57,23.57,23.57,23.57
11/21/1928,23.22,23.22,23.22,23.22
11/22/1928,23.52,23.52,23.52,23.52
11/23/1928,23.7,23.7,23.7,23.7
11/26/1928,23.8,23.8,23.8,23.8
11/27/1928,23.91,23.91,23.91,23.91
11/28/1928,24.19,24.19,24.19,24.19
11/30/1928,24.28,24.28,24.28,24.28
12/1/1928,24.03,24.03,24.03,24.03
12/3/1928,23.85,23.85,23.85,23.85
12/4/1928,23.91,23.91,23.91,23.91
12/5/1928,23.81,23.81,23.81,23.81
12/6/1928,22.91,22.91,22.91,22.91
12/7/1928,22.36,22.36,22.36,22.36
12/8/1928,21.92,21.92,21.92,21.92
12/10/1928,22.31,22.31,22.31,22.31
12/11/1928,22.74,22.74,22.74,22.74
12/12/1928,22.52,22.52,22.52,22.52
12/13/1928,22.48,22.48,22.48,22.48
12/14/1928,22.53,22.53,22.53,22.53
12/15/1928,22.52,22.52,22.52,22.52
12/17/1928,22.44,22.44,22.44,22.44
12/18/1928,22.7,22.7,22.7,22.7
12/19/1928,22.98,22.98,22.98,22.98
12/20/1928,23.07,23.07,23.07,23.07
12/21/1928,23.33,23.33,23.33,23.33
12/22/1928,23.33,23.33,23.33,23.33
12/24/1928,23.54,23.54,23.54,23.54
12/26/1928,23.44,23.44,23.44,23.44
12/27/1928,23.64,23.64,23.64,23.64
12/28/1928,23.98,23.98,23.98,23.98
12/29/1928,24.05,24.05,24.05,24.05
12/31/1928,24.35,24.35,24.35,24.35
1/2/1929,24.81,24.81,24.81,24.81
1/3/1929,24.86,24.86,24.86,24.86
1/4/1929,24.85,24.85,24.85,24.85
1/5/1929,24.57,24.57,24.57,24.57
1/7/1929,24.25,24.25,24.25,24.25
1/8/1929,24.17,24.17,24.17,24.17
1/9/1929,24.54,24.54,24.54,24.54
1/10/1929,24.58,24.58,24.58,24.58
1/11/1929,24.54,24.54,24.54,24.54
1/12/1929,24.47,24.47,24.47,24.47
1/14/1929,24.59,24.59,24.59,24.59
1/15/1929,24.23,24.23,24.23,24.23
1/16/1929,24.56,24.56,24.56,24.56
1/17/1929,24.69,24.69,24.69,24.69
1/18/1929,24.77,24.77,24.77,24.77
1/19/1929,24.88,24.88,24.88,24.88
1/21/1929,24.86,24.86,24.86,24.86
1/22/1929,25.07,25.07,25.07,25.07
1/23/1929,25.22,25.22,25.22,25.22
1/24/1929,25.06,25.06,25.06,25.06
1/25/1929,25.48,25.48,25.48,25.48
1/26/1929,25.43,25.43,25.43,25.43
1/28/1929,25.35,25.35,25.35,25.35
1/29/1929,25.36,25.36,25.36,25.36
1/30/1929,25.45,25.45,25.45,25.45
1/31/1929,25.74,25.74,25.74,25.74
2/1/1929,25.84,25.84,25.84,25.84
2/2/1929,25.8,25.8,25.8,25.8
2/4/1929,25.64,25.64,25.64,25.64
2/5/1929,25.7,25.7,25.7,25.7
2/6/1929,25.49,25.49,25.49,25.49
2/7/1929,24.71,24.71,24.71,24.71
2/8/1929,24.44,24.44,24.44,24.44
2/11/1929,24.98,24.98,24.98,24.98
2/13/1929,24.95,24.95,24.95,24.95
2/14/1929,24.85,24.85,24.85,24.85
2/15/1929,24.35,24.35,24.35,24.35
2/16/1929,24.05,24.05,24.05,24.05
2/18/1929,24.39,24.39,24.39,24.39
2/19/1929,24.38,24.38,24.38,24.38
2/20/1929,24.59,24.59,24.59,24.59
2/21/1929,24.86,24.86,24.86,24.86
2/25/1929,24.91,24.91,24.91,24.91
2/26/1929,24.95,24.95,24.95,24.95
2/27/1929,25.25,25.25,25.25,25.25
2/28/1929,25.59,25.59,25.59,25.59
3/1/1929,25.83,25.83,25.83,25.83
3/2/1929,25.77,25.77,25.77,25.77
3/4/1929,25.49,25.49,25.49,25.49
3/5/1929,24.32,24.32,24.32,24.32
3/6/1929,24.92,24.92,24.92,24.92
3/7/1929,25.15,25.15,25.15,25.15
3/8/1929,25.31,25.31,25.31,25.31
3/9/1929,25.31,25.31,25.31,25.31
3/11/1929,24.95,24.95,24.95,24.95
3/12/1929,24.97,24.97,24.97,24.97
3/13/1929,24.25,24.25,24.25,24.25
3/14/1929,24.73,24.73,24.73,24.73
3/15/1929,26.08,26.08,26.08,26.08
3/16/1929,26.13,26.13,26.13,26.13
3/18/1929,26.04,26.04,26.04,26.04
3/19/1929,26.03,26.03,26.03,26.03
3/20/1929,26.02,26.02,26.02,26.02
3/21/1929,25.9,25.9,25.9,25.9
3/22/1929,25.55,25.55,25.55,25.55
3/23/1929,25.21,25.21,25.21,25.21
3/25/1929,24.51,24.51,24.51,24.51
3/26/1929,24.35,24.35,24.35,24.35
3/27/1929,25.09,25.09,25.09,25.09
3/28/1929,25.53,25.53,25.53,25.53
4/1/1929,24.88,24.88,24.88,24.88
4/2/1929,25.17,25.17,25.17,25.17
4/3/1929,24.86,24.86,24.86,24.86
4/4/1929,25.3,25.3,25.3,25.3
4/5/1929,25.05,25.05,25.05,25.05
4/6/1929,25.07,25.07,25.07,25.07
4/8/1929,24.83,24.83,24.83,24.83
4/9/1929,24.63,24.63,24.63,24.63
4/10/1929,24.78,24.78,24.78,24.78
4/11/1929,25.06,25.06,25.06,25.06
4/12/1929,25.15,25.15,25.15,25.15
4/13/1929,25.17,25.17,25.17,25.17
4/15/1929,25,25,25,25
4/16/1929,25.06,25.06,25.06,25.06
4/17/1929,25.32,25.32,25.32,25.32
4/18/1929,25.43,25.43,25.43,25.43
4/19/1929,25.41,25.41,25.41,25.41
